ORDER_ID,RECOMMENDATION_1,RECOMMENDATION_2,RECOMMENDATION_3
9876633715,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
5581851889,10 pc Spicy Wings,20pc Spicy Feast Deal,10 pc Grilled Wings
2603279335,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
6369834776,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
8063821668,Ranch Dip - Regular,20pc Spicy Feast Deal,Chicken Sub Combo
2931287031,Regular Buffalo Fries,10 pc Grilled Wings,20pc Spicy Feast Deal
5434557025,Ranch Dip - Regular,Regular Buffalo Fries,6 pc Grilled Wings Combo
8268916448,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings Combo
8140769629,10 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
3474583684,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
3461378541,10 pc Spicy Wings,10 pc Grilled Wings,10 pc Grilled Wings Combo
8619245253,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
9425701393,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
9376327890,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings
4182647480,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
4003611924,20pc Spicy Feast Deal,Regular Buffalo Fries,2 pc Crispy Strips
9664258299,Ranch Dip - Regular,20pc Spicy Feast Deal,20 pc Grilled Wings
6513020303,Ranch Dip - Regular,Regular Buffalo Fries,Fried Corn - Regular
3038848982,Ranch Dip - Regular,20pc Spicy Feast Deal,6 pc Grilled Wings Combo
8376685289,Ranch Dip - Regular,10 pc Grilled Wings,10 pc Grilled Wings Combo
5557489897,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Spicy Wings
5074642260,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Grilled Wings
8463957236,Ranch Dip - Regular,20pc Spicy Feast Deal,10 pc Grilled Wings Combo
8529031849,Ranch Dip - Regular,Regular Buffalo Fries,Celery Sticks
2360269841,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings
6957515655,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
560924059,Ranch Dip - Regular,10 pc Grilled Wings,20pc Spicy Feast Deal
7557215476,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
7576879386,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
2024803542,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings Combo
958258271,Ranch Dip - Regular,20pc Spicy Feast Deal,10 pc Spicy Wings
1115322441,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings
8289961904,Ranch Dip - Regular,Regular Buffalo Fries,30 pc Grilled Wings
8903503849,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
4696392549,Ranch Dip - Regular,10 pc Grilled Wings,20 pc Mixed Wings
8201462153,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
1106412992,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
6017584435,Ranch Dip - Regular,8 pc Grilled Wings Combo,20pc Spicy Feast Deal
7561380164,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
8313745366,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
7412481937,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
9404853975,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings
5843303173,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings Combo
5634013434,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
3900783085,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings
3607320592,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
1580421216,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings
3428541028,Ranch Dip - Regular,20pc Spicy Feast Deal,6 pc Grilled Wings Combo
2093272018,Regular Buffalo Fries,Ranch Dip - Large,10 pc Grilled Wings
5140584474,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
9182095124,Ranch Dip - Large,20pc Spicy Feast Deal,Regular Buffalo Fries
9008976760,Ranch Dip - Regular,10 pc Spicy Wings,20pc Spicy Feast Deal
2610885654,Ranch Dip - Regular,Large Buffalo Fries,Fried Corn - Large
6556987230,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
6095674121,Ranch Dip - Regular,Regular Buffalo Fries,32 Oz Soda
8239324284,Ranch Dip - Regular,10 pc Grilled Wings,Large Buffalo Fries
2235489605,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
420263296,Ranch Dip - Regular,Large Buffalo Fries,10 pc Spicy Wings
2853107028,Ranch Dip - Regular,10 pc Grilled Wings,20 pc Mixed Wings
2882485535,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
9388852439,10 pc Grilled Wings Combo,20pc Spicy Feast Deal,10 pc Grilled Wings
3663281732,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings Combo
3205313571,8 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
8488904198,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
8833682485,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
507309741,Ranch Dip - Regular,Celery Sticks,8 pc Grilled Wings Combo
1420458152,10 pc Grilled Wings,10 pc Spicy Wings,2 pc Crispy Strips
1400514220,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8005800972,Ranch Dip - Regular,10 pc Grilled Wings Combo,Fried Corn - Regular
9195418958,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
7616149255,2 pc Crispy Strips,8 pc Grilled Wings Combo,Regular Buffalo Fries
4743781689,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
5459634450,Regular Buffalo Fries,Ranch Dip - Large,10 pc Spicy Wings
9761469695,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8026870762,10 pc Spicy Wings,10 pc Grilled Wings,10 pc Grilled Wings Combo
5519604346,Ranch Dip - Regular,6 pc Grilled Wings Combo,Add 5 Grilled Wings
3443149720,Regular Buffalo Fries,Ranch Dip - Large,10 pc Spicy Wings
5695784239,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Grilled Wings
6539979064,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
2100548803,Ranch Dip - Regular,Regular Buffalo Fries,30 pc Grilled Wings
9419859109,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
7269411598,Ranch Dip - Regular,20pc Spicy Feast Deal,10 pc Spicy Wings
1617158734,Ranch Dip - Regular,20pc Spicy Feast Deal,10 pc Spicy Wings
7560129921,8 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
3704712191,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
4136734912,Ranch Dip - Regular,10 pc Spicy Wings,2 pc Crispy Strips
2250143111,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
3302991162,Ranch Dip - Large,Regular Buffalo Fries,20pc Spicy Feast Deal
7367995107,10 pc Grilled Wings,10 pc Spicy Wings,20pc Spicy Feast Deal
6251705624,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings Combo
5055546718,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
5674301849,Ranch Dip - Regular,10 pc Grilled Wings,10 pc Spicy Wings
6235808560,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
3064527094,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings Combo
692173050,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
432530606,Ranch Dip - Regular,20pc Spicy Feast Deal,2 pc Crispy Strips
6605021198,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings Combo
1474861848,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
6235540934,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
1084179693,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
3083081458,Regular Buffalo Fries,Ranch Dip - Regular,2 pc Crispy Strips
2471266447,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Spicy Wings
9277376427,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
3822095030,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
8635267939,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
9975385466,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Spicy Wings
6002902756,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
9598626923,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
2271437287,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
9127618166,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
5498030987,8 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
4893379515,Ranch Dip - Regular,10 pc Grilled Wings Combo,2 pc Crispy Strips
4497037762,10 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
4061743760,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
9453738106,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8653850514,Ranch Dip - Regular,Large Buffalo Fries,2 pc Crispy Strips
6262453914,Ranch Dip - Regular,10 pc Grilled Wings,10 pc Spicy Wings
1028695542,Ranch Dip - Regular,10 pc Grilled Wings,10 pc Spicy Wings
9052570299,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings Combo
4773468386,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
6788771349,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
9044746507,20pc Spicy Feast Deal,Ranch Dip - Regular,Regular Buffalo Fries
2016464487,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings
7363404487,Regular Buffalo Fries,10 pc Grilled Wings,20pc Spicy Feast Deal
9515862942,20pc Spicy Feast Deal,Ranch Dip - Regular,Large Buffalo Fries
292211849,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
577424637,Ranch Dip - Regular,Regular Buffalo Fries,30 pc Grilled Wings
1891310798,Regular Buffalo Fries,Ranch Dip - Large,10 pc Spicy Wings
4067339101,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings
7233925631,10 pc Spicy Wings,10 pc Grilled Wings,10 pc Grilled Wings Combo
3311888453,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Crispy Strips
7128291259,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
4242501496,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Spicy Wings
3252867332,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Crispy Strips
9492275642,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings Combo
7332762886,Ranch Dip - Regular,20 pc Grilled Wings,Regular Buffalo Fries
1791693774,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings Combo
5549621782,10 pc Grilled Wings Combo,10 pc Spicy Wings,10 pc Grilled Wings
7253771566,Ranch Dip - Regular,20pc Spicy Feast Deal,15 pc Crispy Strips
6488820852,Ranch Dip - Regular,20pc Spicy Feast Deal,8 pc Grilled Wings Combo
4662712535,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8282587606,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings
1211569589,10 pc Spicy Wings,10 pc Grilled Wings,Ranch Dip - Large
5931929840,10 pc Spicy Wings,10 pc Grilled Wings,Large Buffalo Fries
937233417,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
1836342210,Ranch Dip - Regular,10 pc Grilled Wings Combo,Fried Corn - Regular
7825139391,Ranch Dip - Regular,Regular Buffalo Fries,6 pc Grilled Wings Combo
6893279585,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
4932507016,10 pc Spicy Wings,10 pc Grilled Wings,Ranch Dip - Large
693268549,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
8403128336,20pc Spicy Feast Deal,10 pc Spicy Wings,10 pc Grilled Wings
6272521896,10 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
7055108210,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
7658098544,Ranch Dip - Regular,10 pc Grilled Wings Combo,2 pc Crispy Strips
3244141341,Regular Buffalo Fries,10 pc Spicy Wings,Blue Cheese Dip - Regular
8919162423,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
1228896755,Ranch Dip - Regular,6 pc Grilled Wings Combo,Add 5 Grilled Wings
1388721424,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Spicy Wings
8049334637,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
668877122,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
1832380165,Regular Buffalo Fries,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
7454286331,Large Buffalo Fries,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
8820300730,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings Combo
3534967544,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
4099111737,Ranch Dip - Regular,20pc Spicy Feast Deal,10 pc Spicy Wings
5692983309,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
2551508316,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
6401485824,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
8377653183,8 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
2593391980,Ranch Dip - Regular,20pc Spicy Feast Deal,8 pc Grilled Wings Combo
4662155831,Ranch Dip - Regular,6 pc Grilled Wings Combo,Regular Buffalo Fries
3504881894,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
7921565680,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
5313220129,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
4676091145,Ranch Dip - Regular,Regular Buffalo Fries,50 pc Grilled Wings
9283892057,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
2518508022,20pc Spicy Feast Deal,Ranch Dip - Large,10 pc Grilled Wings
4747845722,Ranch Dip - Regular,Regular Buffalo Fries,20 Oz Soda
4714767517,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
2702547901,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
2481358010,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Grilled Wings
9823882308,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
3219246819,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
5610733001,Ranch Dip - Regular,Regular Buffalo Fries,6 pc Grilled Wings Combo
6359009799,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Grilled Wings
5584934742,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
9958274172,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
1700879090,10 pc Grilled Wings Combo,20pc Spicy Feast Deal,Regular Buffalo Fries
423325875,Regular Buffalo Fries,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
2700256303,10 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
7172483544,Ranch Dip - Regular,10 pc Grilled Wings Combo,10 pc Grilled Wings
2771731403,20pc Spicy Feast Deal,Ranch Dip - Regular,Regular Buffalo Fries
1884402430,Ranch Dip - Regular,Regular Buffalo Fries,Fried Corn - Regular
4464349661,Regular Buffalo Fries,10 pc Grilled Wings Combo,10 pc Grilled Wings
9020764788,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings Combo
897197018,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
9195917308,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings Combo
9753500807,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
1074003675,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings
2181355716,Regular Buffalo Fries,Ranch Dip - Large,10 pc Grilled Wings
8024017350,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
575013192,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings
9480777569,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
8490256110,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
9316714148,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
3735258950,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
4118512959,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Spicy Wings
153301022,Ranch Dip - Regular,6 pc Grilled Wings Combo,20pc Spicy Feast Deal
5439543092,10 pc Grilled Wings,10 pc Spicy Wings,Ranch Dip - Large
1234599757,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
1314782296,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings
7832345222,10 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
1907035917,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
5827168935,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8538799610,Ranch Dip - Regular,10 pc Spicy Wings,20pc Spicy Feast Deal
6646915661,10 pc Spicy Wings,20pc Spicy Feast Deal,10 pc Grilled Wings
7341287854,2 pc Crispy Strips,8 pc Grilled Wings Combo,Regular Buffalo Fries
3302178791,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
5895908225,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
4249926639,Ranch Dip - Regular,Regular Buffalo Fries,50 pc Grilled Wings
1978069785,Ranch Dip - Regular,20pc Spicy Feast Deal,2 pc Crispy Strips
6829257066,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
7249113306,Ranch Dip - Regular,2 pc Crispy Strips,Fried Corn - Regular
3671354189,Ranch Dip - Regular,15 pc Crispy Strips,8 pc Grilled Wings Combo
7439102795,Ranch Dip - Regular,10 pc Grilled Wings Combo,2 pc Crispy Strips
6371113700,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings
5494382077,Ranch Dip - Regular,10 pc Grilled Wings Combo,30 pc Grilled Wings
7435447142,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings Combo
5479754720,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
9908029367,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
4101133960,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
3015925635,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
2028788097,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
1264014639,Ranch Dip - Regular,10 pc Grilled Wings,10 pc Grilled Wings Combo
989527639,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
5436082679,Regular Buffalo Fries,Ranch Dip - Large,10 pc Spicy Wings
4826562760,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
5840783167,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
6403268830,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
4204556378,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Crispy Strips
8025974796,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings
3218830263,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
1496609584,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
6593788546,Ranch Dip - Regular,10 pc Grilled Wings Combo,Fried Corn - Regular
5190525485,Ranch Dip - Regular,2 pc Crispy Strips,Chicken Sub
1693088898,Regular Buffalo Fries,Ranch Dip - Large,10 pc Grilled Wings
4540881888,6 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
3748848573,Ranch Dip - Regular,10 pc Grilled Wings Combo,Large Buffalo Fries
140533012,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Spicy Wings
4328729830,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
1100029045,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
4240564164,Regular Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Large
3292135969,8 pc Grilled Wings Combo,Regular Buffalo Fries,2 pc Crispy Strips
5273809414,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
4843892365,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
4475708513,Ranch Dip - Regular,2 pc Crispy Strips,20pc Spicy Feast Deal
1891258868,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
8567790320,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
555033840,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
1757964799,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
203585826,10 pc Spicy Wings,10 pc Grilled Wings,Ranch Dip - Large
4991901700,Ranch Dip - Regular,15 pc Crispy Strips,Add 5 Grilled Wings
788250617,Ranch Dip - Regular,8 pc Grilled Wings Combo,Fried Corn - Regular
1327263363,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal
2199438114,20pc Spicy Feast Deal,10 pc Spicy Wings,10 pc Grilled Wings
6137645469,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Crispy Strips
8721610270,Regular Buffalo Fries,10 pc Grilled Wings,20pc Spicy Feast Deal
6792373984,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
1355068589,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
8787311196,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings Combo
5831553557,10 pc Grilled Wings,10 pc Spicy Wings,20pc Spicy Feast Deal
1728785684,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
7436158860,Ranch Dip - Regular,Add 5 Grilled Wings,2 pc Crispy Strips
9866060252,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings Combo
1757937877,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
8953892581,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
9160586430,Regular Buffalo Fries,10 pc Spicy Wings,10 pc Grilled Wings
1348916976,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
4319071016,Regular Buffalo Fries,10 pc Spicy Wings,10 pc Grilled Wings Combo
2082860004,Ranch Dip - Regular,20 pc Mixed Wings,Legendary Feast Bundle
6088363846,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
6601145696,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
9265211153,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
8354850181,20pc Spicy Feast Deal,Ranch Dip - Regular,Regular Buffalo Fries
9709185284,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
8664036462,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
1787804796,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
4169189588,Ranch Dip - Regular,10 pc Grilled Wings Combo,2 pc Crispy Strips
4240555546,Regular Buffalo Fries,2 pc Crispy Strips,10 pc Grilled Wings
6707615211,Ranch Dip - Regular,10 pc Grilled Wings Combo,10 pc Grilled Wings
6121591301,10 pc Spicy Wings,10 pc Grilled Wings,Ranch Dip - Large
9660893737,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
3166725456,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
2935738403,Ranch Dip - Regular,Fried Corn - Regular,15 pc Crispy Strips
7655305325,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Mixed Wings
5498347398,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings
7654433270,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
5618771525,6 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
8544774642,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings
3729893922,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings
